v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
0.8	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
4.2	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	9.8	-1	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
0.8	10.4	3.2	1.4	-1	-1	-1	4.9	-1	-1
3.4	7.8	16.1	13.7	54.7	40.2	10.6	9.8	9.6	3.9
65	57.4	22.5	43.8	23.4	301.8	21.1	92.9	86.4	19.4
-1	-1	-1	1.4	-1	-1	-1	9.8	-1	-1
3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	3.2	-1	-1	-1	-1	-1	-1	3.9
-1	-1	-1	1.4	15.6	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	14.7	-1	-1
0.8	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
62.5	28.7	73.9	32.8	148.4	80.5	42.2	39.1	38.4	27.2
0.8	2.6	-1	-1	-1	-1	-1	4.9	-1	-1
1.7	-1	3.2	2.7	-1	-1	-1	14.7	28.8	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
6.8	15.6	6.4	6.8	15.6	-1	-1	-1	-1	3.9
42.2	2.6	67.5	5.5	-1	-1	-1	-1	9.6	3.9
2.5	-1	-1	-1	-1	5	-1	-1	-1	-1
-1	-1	-1	2.7	-1	-1	-1	-1	-1	7.8
49.8	54.8	6.4	20.5	78.1	20.1	42.2	19.6	28.8	27.2
13.5	7.8	144.6	10.9	15.6	15.1	10.6	19.6	48	38.8
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
32.1	20.9	3.2	16.4	7.8	20.1	-1	48.9	-1	31.1
1.7	-1	-1	4.1	-1	-1	-1	4.9	-1	-1
1.7	7.8	3.2	2.7	-1	-1	10.6	4.9	-1	3.9
47.3	28.7	96.4	39.7	46.8	25.2	42.2	48.9	9.6	66
28.7	10.4	32.1	47.9	15.6	90.5	10.6	63.5	38.4	66
27.9	7.8	134.9	42.4	93.7	15.1	10.6	29.3	9.6	34.9
25.3	20.9	-1	4.1	7.8	-1	10.6	9.8	-1	38.8
-1	-1	-1	1.4	-1	-1	-1	4.9	-1	3.9
10.1	5.2	9.6	9.6	-1	10.1	42.2	4.9	9.6	19.4
1.7	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
-1	2.6	6.4	2.7	-1	-1	21.1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
9.3	-1	-1	1.4	15.6	-1	-1	-1	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	1.4	-1	-1	-1	-1	19.2	-1
6.8	7.8	-1	2.7	-1	-1	-1	4.9	9.6	7.8
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
10.1	5.2	6.4	41	15.6	50.3	21.1	9.8	28.8	11.6
1.7	-1	-1	1.4	-1	20.1	-1	-1	-1	-1
4.2	-1	28.9	6.8	7.8	5	-1	24.4	-1	7.8
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
1.7	7.8	-1	2.7	-1	-1	-1	-1	-1	7.8
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
46.4	67.8	61	49.2	46.8	15.1	42.2	44	19.2	54.4
-1	-1	-1	4.1	7.8	-1	-1	4.9	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
0.8	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
3.4	-1	-1	6.8	15.6	20.1	-1	-1	9.6	-1
-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
5.1	-1	-1	-1	-1	-1	-1	9.8	-1	7.8
-1	-1	-1	2.7	-1	-1	-1	-1	9.6	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
10.1	5.2	6.4	1.4	-1	5	-1	-1	-1	-1
0.8	5.2	-1	4.1	-1	-1	-1	-1	-1	3.9
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
5.9	7.8	-1	5.5	15.6	-1	-1	-1	9.6	-1
-1	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	7.8	5	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
2.5	2.6	-1	1.4	7.8	-1	-1	-1	-1	-1
11	2.6	6.4	15	7.8	-1	-1	-1	19.2	3.9
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
-1	5.2	-1	6.8	-1	-1	-1	-1	9.6	7.8
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	5.2	-1	-1	-1	-1	-1	-1	-1	-1
3.4	2.6	-1	9.6	-1	-1	-1	4.9	-1	-1
1.7	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
11	7.8	6.4	31.5	23.4	-1	-1	29.3	19.2	7.8
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
70.9	104.3	80.3	27.4	7.8	135.8	42.2	68.4	67.2	62.1
-1	-1	-1	-1	-1	-1	-1	9.8	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
3.4	7.8	3.2	-1	7.8	10.1	-1	-1	-1	-1
2.5	5.2	3.2	6.8	7.8	-1	-1	-1	-1	-1
1.7	-1	-1	1.4	-1	-1	10.6	-1	-1	3.9
2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
37.1	96.5	57.8	32.8	62.5	40.2	200.6	24.4	38.4	34.9
1.7	2.6	3.2	1.4	-1	-1	-1	-1	19.2	-1
6.8	2.6	3.2	19.2	-1	5	21.1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	6.8	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
8.4	15.6	28.9	17.8	39	25.2	31.7	53.8	105.6	34.9
-1	-1	-1	-1	-1	-1	-1	9.8	9.6	-1
0.8	5.2	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
1.7	-1	-1	2.7	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	10.6	-1	-1	-1
0.8	5.2	-1	4.1	-1	-1	-1	-1	-1	-1
1.7	5.2	-1	1.4	-1	-1	-1	4.9	-1	-1
0.8	-1	-1	-1	-1	-1	10.6	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
1.7	13	-1	12.3	7.8	-1	-1	-1	-1	3.9
0.8	-1	-1	2.7	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
4.2	18.3	6.4	5.5	-1	20.1	-1	19.6	9.6	50.5
9.3	-1	-1	-1	-1	-1	-1	9.8	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13.5	2.6	32.1	4.1	-1	10.1	21.1	53.8	-1	11.6
0.8	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	2.6	3.2	4.1	-1	-1	-1	-1	-1	3.9
0.8	-1	-1	-1	-1	-1	-1	9.8	9.6	3.9
-1	-1	-1	-1	-1	-1	21.1	-1	153.6	-1
0.8	2.6	-1	5.5	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
0.8	2.6	-1	-1	-1	5	-1	4.9	-1	-1
0.8	-1	-1	-1	-1	-1	10.6	4.9	9.6	-1
1.7	23.5	-1	4.1	-1	-1	21.1	9.8	19.2	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
0.8	-1	-1	-1	-1	-1	-1	4.9	-1	3.9
13.5	7.8	3.2	8.2	15.6	55.3	-1	44	-1	15.5
-1	13	19.3	4.1	7.8	-1	-1	4.9	-1	3.9
1.7	-1	6.4	8.2	-1	5	-1	44	9.6	3.9
-1	-1	-1	1.4	-1	-1	-1	9.8	19.2	-1
11	-1	-1	2.7	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	14.7	-1	3.9
16	2.6	12.9	19.2	31.2	-1	-1	29.3	28.8	3.9
0.8	-1	-1	10.9	15.6	-1	10.6	14.7	-1	3.9
1.7	-1	-1	-1	-1	-1	-1	9.8	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
22.8	10.4	-1	13.7	7.8	10.1	-1	14.7	19.2	27.2
-1	7.8	-1	-1	-1	-1	-1	4.9	-1	-1
1.7	2.6	-1	-1	-1	-1	-1	-1	9.6	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	3.9
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
1.7	2.6	-1	1.4	-1	-1	-1	4.9	-1	11.6
7.6	20.9	25.7	21.9	15.6	15.1	10.6	39.1	76.8	34.9
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	5.2	-1	1.4	15.6	-1	-1	4.9	-1	-1
13.5	7.8	19.3	10.9	15.6	70.4	10.6	4.9	9.6	19.4
-1	-1	-1	-1	-1	-1	-1	-1	28.8	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
0.8	7.8	-1	2.7	-1	-1	-1	4.9	-1	-1
-1	-1	-1	1.4	7.8	-1	-1	24.4	-1	-1
3.4	5.2	3.2	4.1	-1	-1	21.1	-1	-1	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
10.1	10.4	3.2	10.9	7.8	-1	10.6	4.9	-1	23.3
0.8	-1	-1	-1	-1	-1	21.1	-1	-1	-1
-1	-1	-1	4.1	-1	-1	-1	39.1	9.6	7.8
25.3	2.6	9.6	2.7	39	5	10.6	14.7	9.6	3.9
20.3	5.2	6.4	-1	15.6	-1	-1	9.8	-1	-1
9.3	-1	3.2	4.1	-1	-1	-1	-1	-1	3.9
6.8	-1	3.2	-1	-1	-1	-1	-1	-1	-1
5.1	-1	3.2	5.5	-1	20.1	-1	-1	-1	-1
5.9	-1	-1	-1	-1	-1	-1	4.9	9.6	-1
7.6	-1	-1	-1	-1	-1	-1	-1	9.6	-1
29.5	15.6	16.1	2.7	15.6	-1	-1	9.8	57.6	23.3
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
18.6	13	3.2	19.2	-1	30.2	-1	14.7	-1	34.9
4.2	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	2.6	6.4	-1	-1	-1	-1	4.9	-1	3.9
5.1	7.8	3.2	1.4	-1	-1	-1	4.9	19.2	-1
0.8	-1	-1	2.7	23.4	-1	-1	4.9	9.6	3.9
-1	-1	-1	-1	-1	-1	-1	4.9	9.6	-1
8.4	-1	-1	-1	-1	-1	-1	4.9	-1	-1
17.7	15.6	6.4	10.9	7.8	5	10.6	14.7	-1	3.9
5.9	-1	-1	2.7	-1	-1	-1	-1	9.6	3.9
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	5.2	3.2	2.7	-1	5	-1	9.8	-1	3.9
37.1	20.9	35.3	38.3	46.8	10.1	-1	58.7	19.2	23.3
3.4	10.4	-1	5.5	7.8	5	-1	-1	-1	11.6
1.7	2.6	-1	2.7	-1	-1	-1	4.9	-1	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6.8	5.2	22.5	9.6	-1	-1	10.6	19.6	9.6	11.6
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5.1	-1	-1	-1	7.8	-1	-1	-1	9.6	-1
4.2	-1	3.2	-1	15.6	-1	-1	-1	-1	3.9
5.9	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
7.6	-1	-1	-1	-1	-1	-1	-1	-1	-1
7.6	-1	-1	-1	-1	-1	-1	-1	-1	11.6
5.9	2.6	12.9	4.1	-1	-1	-1	-1	9.6	3.9
2.5	-1	-1	-1	-1	-1	-1	-1	-1	3.9
0.8	-1	-1	-1	-1	-1	-1	4.9	-1	11.6
9.3	-1	-1	2.7	-1	-1	-1	4.9	-1	3.9
17.7	-1	-1	-1	-1	-1	-1	4.9	-1	-1
26.2	41.7	19.3	41	-1	20.1	-1	88	48	50.5
2.5	7.8	3.2	6.8	-1	-1	21.1	4.9	-1	11.6
3.4	-1	3.2	2.7	-1	20.1	-1	4.9	-1	3.9
1.7	-1	-1	-1	-1	-1	-1	-1	9.6	-1
22	2.6	12.9	13.7	-1	5	-1	4.9	96	3.9
0.8	-1	-1	-1	7.8	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	6.4	-1	31.2	-1	-1	-1	-1	-1
40.5	46.9	32.1	16.4	15.6	10.1	21.1	14.7	9.6	7.8
27	2.6	9.6	4.1	-1	-1	-1	4.9	-1	11.6
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	10.4	-1	27.4	15.6	-1	-1	19.6	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	2.6	16.1	2.7	23.4	5	-1	39.1	-1	23.3
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	2.7	15.6	60.4	-1	9.8	9.6	11.6
7.6	-1	22.5	20.5	-1	5	63.3	4.9	9.6	34.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11.8	13	6.4	19.2	93.7	10.1	10.6	24.4	-1	15.5
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	1.4	-1	5	-1	-1	-1	-1
0.8	5.2	-1	1.4	-1	-1	-1	4.9	19.2	7.8
-1	2.6	-1	-1	-1	-1	-1	14.7	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	15.5
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	5.2	6.4	2.7	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	5.2	-1	-1	-1	-1	-1	4.9	9.6	-1
1.7	5.2	-1	1.4	-1	-1	-1	-1	-1	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
11	-1	-1	1.4	15.6	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
5.1	18.3	9.6	34.2	15.6	15.1	10.6	14.7	9.6	31.1
-1	7.8	-1	1.4	-1	5	-1	4.9	-1	-1
-1	-1	-1	-1	7.8	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	2.6	3.2	1.4	-1	5	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	3.9
1.7	2.6	-1	-1	-1	5	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	2.6	-1	2.7	-1	-1	-1	-1	-1	3.9
1.7	-1	3.2	-1	-1	-1	-1	-1	-1	-1
0.8	-1	3.2	6.8	-1	-1	-1	-1	-1	-1
0.8	-1	-1	6.8	-1	5	-1	-1	-1	-1
10.1	10.4	12.9	5.5	15.6	50.3	10.6	24.4	38.4	27.2
43.9	-1	3.2	15	-1	25.2	10.6	4.9	-1	38.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	2.7	-1	5	-1	4.9	9.6	-1
-1	10.4	3.2	8.2	7.8	5	-1	-1	-1	3.9
-1	-1	-1	1.4	-1	-1	-1	-1	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	9.6	8.2	23.4	5	-1	9.8	28.8	3.9
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
19.4	-1	3.2	6.8	-1	5	-1	4.9	38.4	3.9
2.5	-1	3.2	5.5	-1	-1	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7.6	-1	6.4	-1	-1	-1	-1	-1	-1	-1
1.7	2.6	-1	2.7	7.8	-1	10.6	4.9	-1	-1
2.5	-1	-1	1.4	-1	-1	-1	9.8	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
0.8	-1	9.6	-1	-1	-1	-1	4.9	-1	-1
6.8	2.6	3.2	1.4	23.4	5	10.6	-1	9.6	19.4
4.2	-1	12.9	2.7	-1	-1	-1	4.9	-1	11.6
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	3.2	5.5	-1	20.1	-1	4.9	28.8	7.8
3.4	5.2	9.6	10.9	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7.6	7.8	12.9	10.9	15.6	-1	-1	9.8	9.6	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	9.6	3.9
-1	-1	-1	4.1	-1	-1	-1	-1	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	4.9	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
25.3	36.5	45	39.7	31.2	65.4	21.1	63.5	9.6	31.1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	7.8	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	6.8	-1	-1	21.1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	4.9	-1	-1
11	2.6	12.9	1.4	15.6	10.1	-1	14.7	38.4	15.5
1.7	-1	-1	-1	-1	-1	-1	-1	9.6	-1
2.5	-1	3.2	-1	-1	-1	-1	-1	9.6	42.7
0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
33.8	13	73.9	2452.9	15.6	60.4	-1	39.1	-1	66
-1	-1	-1	2.7	-1	-1	-1	-1	9.6	3.9
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
43.1	112.1	131.7	67	85.9	110.7	95	146.6	38.4	132
0.8	-1	3.2	-1	-1	-1	-1	9.8	-1	3.9
-1	-1	-1	2.7	23.4	-1	-1	-1	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
0.8	2.6	6.4	8.2	7.8	-1	-1	9.8	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	5.2	-1	1.4	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	-1	-1	7.8	-1	10.6	-1	-1	3.9
15.2	23.5	25.7	19.2	23.4	5	42.2	39.1	-1	11.6
-1	-1	-1	-1	-1	-1	-1	9.8	-1	-1
0.8	-1	-1	-1	-1	-1	-1	4.9	-1	-1
5.1	2.6	3.2	4.1	31.2	-1	10.6	39.1	9.6	7.8
6.8	-1	-1	9.6	15.6	5	-1	24.4	9.6	11.6
-1	-1	3.2	5.5	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	3.9
1.7	-1	-1	1.4	-1	-1	-1	-1	9.6	7.8
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
8.4	-1	12.9	15	15.6	5	-1	14.7	9.6	7.8
5.1	7.8	3.2	5.5	-1	-1	-1	4.9	-1	3.9
-1	-1	6.4	-1	-1	-1	-1	-1	-1	7.8
2.5	2.6	3.2	16.4	7.8	-1	-1	4.9	-1	11.6
2.5	-1	-1	1.4	7.8	10.1	-1	-1	9.6	3.9
0.8	2.6	-1	-1	-1	-1	-1	-1	-1	11.6
-1	23.5	-1	4.1	-1	20.1	-1	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	2.6	-1	4.1	-1	-1	-1	9.8	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
3.4	-1	-1	6.8	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	5	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
1.7	-1	-1	-1	-1	-1	-1	14.7	-1	-1
2.5	-1	6.4	4.1	-1	15.1	-1	19.6	-1	34.9
0.8	2.6	-1	-1	-1	5	10.6	-1	-1	3.9
0.8	-1	3.2	-1	-1	10.1	10.6	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	-1	3.2	10.9	-1	-1	-1	-1	-1	7.8
-1	-1	-1	-1	7.8	-1	10.6	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
7.6	-1	-1	5.5	31.2	-1	10.6	-1	-1	3.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
5.9	7.8	6.4	21.9	-1	5	-1	9.8	9.6	7.8
-1	2.6	-1	-1	7.8	-1	-1	14.7	9.6	-1
-1	2.6	-1	-1	-1	-1	-1	4.9	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
13.5	20.9	19.3	26	23.4	10.1	-1	39.1	67.2	34.9
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
4.2	5.2	3.2	1.4	15.6	-1	-1	19.6	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
2.5	-1	3.2	2.7	-1	-1	-1	14.7	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	8.2	-1	1021.2	-1	53.8	9.6	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
-1	2.6	-1	-1	-1	-1	-1	-1	19.2	-1
-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
6.8	10.4	-1	6.8	-1	10.1	-1	14.7	57.6	-1
