v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
65.9	-1	12.9	6.8	15.6	5	-1	4.9	-1	11.6
77.7	60	77.1	69.8	85.9	105.6	63.3	44	86.4	97.1
184.1	151.2	115.7	130	132.7	166	84.4	73.3	76.8	116.5
0.8	2.6	-1	46.5	-1	-1	10.6	4.9	-1	-1
10.1	7.8	19.3	12.3	7.8	15.1	10.6	24.4	38.4	-1
70.1	44.3	99.6	90.3	156.2	45.3	126.7	63.5	144	85.4
15.2	-1	3.2	17.8	-1	-1	-1	34.2	38.4	-1
32.9	18.3	57.8	31.5	70.3	75.5	-1	19.6	57.6	34.9
30.4	31.3	25.7	39.7	31.2	20.1	-1	48.9	48	97.1
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
20.3	36.5	125.3	42.4	31.2	125.8	-1	19.6	48	159.2
-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
11	18.3	6.4	28.7	7.8	5	-1	9.8	9.6	-1
28.7	20.9	16.1	27.4	-1	15.1	-1	4.9	48	23.3
38.8	2.6	-1	-1	-1	-1	-1	-1	-1	-1
25.3	-1	-1	1.4	-1	-1	10.6	-1	28.8	3.9
19.4	28.7	6.4	8.2	-1	15.1	10.6	9.8	-1	3.9
11	10.4	6.4	4.1	-1	5	-1	4.9	9.6	3.9
80.2	75.6	38.6	68.4	39	75.5	31.7	34.2	76.8	46.6
-1	-1	-1	-1	-1	-1	42.2	-1	9.6	-1
9.3	-1	9.6	1.4	124.9	20.1	-1	2443.8	9.6	-1
43.9	54.8	25.7	42.4	23.4	-1	21.1	24.4	9.6	42.7
39.7	7.8	22.5	5.5	23.4	-1	21.1	9.8	-1	46.6
-1	-1	-1	-1	-1	-1	-1	9.8	-1	-1
9.3	18.3	3.2	24.6	23.4	10.1	63.3	9.8	86.4	15.5
13.5	5.2	6.4	78	-1	75.5	-1	19.6	105.6	7.8
1.7	2.6	240.9	2.7	23.4	-1	-1	9.8	-1	-1
12.7	10.4	16.1	9.6	23.4	10.1	10.6	29.3	28.8	19.4
12.7	86.1	12.9	15	78.1	-1	-1	9.8	182.4	120.4
-1	-1	-1	6.8	15.6	-1	-1	-1	9.6	15.5
42.2	78.2	3.2	36.9	54.7	30.2	-1	19.6	182.4	120.4
24.5	52.2	48.2	136.8	54.7	40.2	42.2	24.4	57.6	77.7
40.5	52.2	57.8	64.3	15.6	90.5	10.6	68.4	48	42.7
30.4	33.9	22.5	62.9	-1	10.1	73.9	44	48	38.8
10.1	7.8	-1	6.8	7.8	-1	10.6	4.9	-1	3.9
0.8	5.2	3.2	21.9	7.8	-1	-1	29.3	-1	-1
36.3	41.7	16.1	64.3	15.6	10.1	-1	58.7	38.4	62.1
197.6	216.4	115.7	192.9	101.5	161	31.7	215.1	182.4	139.8
39.7	33.9	99.6	50.6	70.3	35.2	63.3	88	86.4	42.7
543.7	367.7	234.5	659.4	187.4	1111.7	63.3	249.3	172.8	155.3
273.5	268.6	218.5	296.9	234.2	191.2	42.2	180.8	144	163.1
5.1	106.9	6.4	5.5	15.6	15.1	63.3	14.7	-1	11.6
93.7	159.1	90	82.1	78.1	85.5	158.3	58.7	124.8	101
8.4	2.6	3.2	10.9	39	20.1	-1	68.4	9.6	-1
