NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.592715	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592716	-1	2.6	-1	1.4	-1	-1	-1	4.9	-1	-1
Hs.592717	1.7	-1	-1	2.7	-1	-1	21.1	-1	-1	-1
Hs.592718	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592722	-1	5.2	6.4	2.7	23.4	5	-1	-1	-1	3.9
Hs.592723	5.9	13	6.4	6.8	-1	-1	-1	14.7	9.6	11.6
Hs.592724	1.7	2.6	6.4	2.7	-1	-1	-1	4.9	9.6	-1
Hs.592727	0.8	-1	-1	1.4	-1	-1	-1	-1	9.6	-1
Hs.592732	0.8	-1	-1	-1	-1	5	-1	-1	-1	7.8
Hs.592734	1.7	-1	-1	5.5	-1	5	-1	-1	-1	-1
Hs.592735	0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.592737	43.9	20.9	144.6	24.6	31.2	45.3	42.2	34.2	48	58.2
Hs.592740	5.1	-1	-1	5.5	39	-1	-1	-1	-1	15.5
Hs.592742	35.5	46.9	147.8	78	70.3	100.6	95	102.6	57.6	163.1
Hs.592744	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592746	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592747	0.8	-1	-1	1.4	-1	15.1	-1	4.9	-1	3.9
Hs.592750	22.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592751	54.9	-1	-1	-1	-1	-1	-1	-1	9.6	7.8
Hs.592752	6.8	2.6	3.2	-1	-1	-1	-1	14.7	-1	-1
Hs.592754	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592757	0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.592759	4.2	2.6	9.6	6.8	7.8	-1	-1	4.9	9.6	3.9
Hs.592762	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592767	0.8	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.592769	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592770	95.4	36.5	35.3	39.7	15.6	15.1	-1	48.9	67.2	101
Hs.592771	7.6	5.2	-1	-1	15.6	-1	-1	-1	-1	15.5
Hs.592774	6.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592775	26.2	-1	35.3	34.2	132.7	35.2	10.6	24.4	9.6	15.5
Hs.592776	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592777	9.3	-1	25.7	4.1	7.8	5	-1	-1	9.6	7.8
Hs.592778	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592780	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592781	62.5	49.5	54.6	39.7	117.1	60.4	31.7	73.3	57.6	23.3
Hs.592784	5.1	-1	9.6	8.2	15.6	10.1	-1	9.8	19.2	15.5
Hs.592785	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592787	8.4	7.8	28.9	28.7	7.8	10.1	-1	9.8	-1	7.8
Hs.592789	26.2	2.6	6.4	4.1	-1	5	10.6	24.4	-1	-1
Hs.592796	9.3	7.8	6.4	6.8	15.6	-1	-1	4.9	57.6	23.3
Hs.592798	5.1	-1	-1	-1	-1	-1	-1	-1	-1	3.9
Hs.592800	7.6	-1	3.2	-1	-1	5	10.6	9.8	9.6	-1
Hs.592801	35.5	54.8	57.8	61.6	54.7	60.4	31.7	68.4	38.4	42.7
Hs.592803	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592804	6.8	23.5	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.592806	6.8	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592809	16	-1	-1	-1	15.6	-1	-1	-1	-1	11.6
Hs.592810	0.8	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.592815	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592816	18.6	-1	3.2	8.2	15.6	-1	-1	4.9	9.6	34.9
Hs.592817	21.1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.592818	0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.592819	11.8	5.2	19.3	5.5	7.8	-1	-1	4.9	-1	-1
Hs.592825	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592826	3.4	5.2	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.592827	12.7	15.6	9.6	6.8	-1	5	10.6	9.8	19.2	23.3
Hs.592832	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592837	22.8	15.6	22.5	6.8	23.4	5	21.1	4.9	19.2	15.5
Hs.592839	29.5	15.6	32.1	28.7	31.2	20.1	10.6	14.7	28.8	7.8
Hs.592840	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592843	-1	-1	-1	5.5	15.6	-1	-1	-1	-1	3.9
Hs.592844	2.5	5.2	-1	1.4	-1	-1	-1	-1	-1	3.9
Hs.592846	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592849	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592851	8.4	7.8	9.6	16.4	7.8	-1	-1	4.9	9.6	15.5
Hs.592852	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592853	0.8	-1	-1	4.1	-1	-1	-1	4.9	-1	-1
Hs.592859	-1	-1	-1	8.2	-1	-1	-1	-1	-1	-1
Hs.592860	0.8	5.2	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592861	5.1	2.6	3.2	4.1	15.6	10.1	-1	4.9	9.6	11.6
Hs.592862	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592863	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592867	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.592871	0.8	-1	-1	-1	54.7	-1	10.6	-1	-1	-1
Hs.592874	0.8	-1	-1	-1	-1	-1	-1	9.8	-1	-1
Hs.592876	-1	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.592880	1.7	2.6	-1	6.8	23.4	25.2	-1	4.9	9.6	7.8
Hs.592886	8.4	-1	3.2	10.9	7.8	-1	-1	-1	-1	3.9
Hs.592888	26.2	13	3.2	9.6	7.8	10.1	10.6	29.3	28.8	19.4
Hs.592892	-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.592894	-1	-1	3.2	-1	-1	-1	-1	-1	-1	3.9
Hs.592901	11.8	-1	3.2	-1	-1	-1	-1	9.8	-1	-1
Hs.592916	0.8	-1	-1	2.7	7.8	-1	-1	-1	-1	-1
Hs.592920	6.8	-1	6.4	2.7	15.6	-1	-1	-1	-1	3.9
Hs.592921	6.8	5.2	3.2	5.5	31.2	5	-1	-1	9.6	7.8
Hs.592922	5.1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.592928	11.8	2.6	-1	16.4	-1	10.1	-1	-1	-1	-1
Hs.592929	1.7	13	517.2	6.8	-1	50.3	-1	97.8	28.8	15.5
Hs.592933	-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.592934	11.8	15.6	16.1	17.8	23.4	5	10.6	9.8	-1	19.4
Hs.592941	1.7	-1	-1	1.4	-1	5	-1	-1	-1	11.6
Hs.592942	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.592944	11	23.5	54.6	13.7	7.8	90.5	42.2	19.6	67.2	34.9
Hs.592945	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592946	0.8	-1	6.4	2.7	-1	5	-1	-1	9.6	-1
Hs.592950	2.5	7.8	22.5	13.7	-1	40.2	-1	14.7	9.6	7.8
Hs.592951	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592966	-1	2.6	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.592967	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.592970	0.8	-1	3.2	1.4	-1	-1	-1	-1	-1	-1
Hs.592974	23.6	2.6	-1	5.5	-1	35.2	-1	-1	9.6	23.3
Hs.592982	0.8	2.6	9.6	6.8	-1	10.1	10.6	9.8	-1	11.6
Hs.592983	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.592993	2.5	-1	3.2	2.7	15.6	-1	-1	-1	9.6	3.9
Hs.592994	2.5	5.2	-1	1.4	-1	-1	-1	9.8	-1	-1
Hs.5930	1.7	2.6	3.2	12.3	-1	5	-1	-1	-1	-1
Hs.593005	4.2	13	-1	9.6	7.8	-1	10.6	9.8	-1	7.8
Hs.593007	-1	-1	-1	-1	-1	5	-1	-1	-1	-1
Hs.593008	-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.593011	4.2	-1	-1	2.7	-1	5	-1	4.9	-1	7.8
Hs.593014	15.2	33.9	9.6	15	31.2	10.1	-1	58.7	57.6	97.1
Hs.593016	-1	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.593022	27.9	18.3	16.1	24.6	31.2	5	21.1	19.6	19.2	58.2
Hs.593025	-1	-1	-1	-1	-1	-1	-1	-1	9.6	3.9
Hs.593026	0.8	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593027	4.2	20.9	57.8	21.9	7.8	45.3	422.2	9.8	-1	42.7
Hs.593028	0.8	-1	6.4	-1	-1	-1	-1	-1	-1	15.5
Hs.593034	5.1	13	-1	1.4	7.8	5	10.6	9.8	19.2	-1
Hs.593035	1.7	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593037	-1	-1	-1	1.4	-1	-1	-1	9.8	19.2	3.9
Hs.593043	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593044	5.1	221.7	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593050	6.8	2.6	3.2	5.5	15.6	-1	-1	-1	-1	23.3
Hs.593056	1.7	-1	3.2	4.1	7.8	-1	-1	4.9	28.8	3.9
Hs.593059	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593061	9.3	-1	-1	1.4	-1	-1	10.6	4.9	9.6	27.2
Hs.593067	6.8	5.2	16.1	9.6	85.9	15.1	21.1	39.1	9.6	11.6
Hs.593068	-1	7.8	3.2	-1	7.8	-1	-1	-1	-1	-1
Hs.593071	9.3	-1	6.4	4.1	31.2	-1	10.6	4.9	28.8	7.8
Hs.593075	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593076	27	7.8	12.9	21.9	39	5	10.6	19.6	19.2	15.5
Hs.593078	0.8	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593086	16.9	-1	3.2	6.8	7.8	5	31.7	4.9	28.8	11.6
Hs.593087	2.5	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593090	1.7	-1	3.2	-1	7.8	-1	-1	-1	-1	-1
Hs.593092	0.8	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
Hs.593093	4.2	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593095	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593098	0.8	-1	-1	-1	-1	-1	-1	9.8	-1	-1
Hs.593100	-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593104	0.8	10.4	3.2	1.4	-1	-1	-1	4.9	-1	-1
Hs.593109	3.4	7.8	16.1	13.7	54.7	40.2	10.6	9.8	9.6	3.9
Hs.593111	65	57.4	22.5	43.8	23.4	301.8	21.1	92.9	86.4	19.4
Hs.593113	-1	-1	-1	1.4	-1	-1	-1	9.8	-1	-1
Hs.593115	3.4	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593118	0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593120	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593122	0.8	-1	3.2	-1	-1	-1	-1	-1	-1	3.9
Hs.593123	-1	-1	-1	1.4	15.6	-1	-1	-1	-1	-1
Hs.593127	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593130	-1	-1	-1	-1	-1	-1	-1	14.7	-1	-1
Hs.593133	0.8	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593134	62.5	28.7	73.9	32.8	148.4	80.5	42.2	39.1	38.4	27.2
Hs.593135	0.8	2.6	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593136	1.7	-1	3.2	2.7	-1	-1	-1	14.7	28.8	-1
Hs.593144	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593145	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593146	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593148	6.8	15.6	6.4	6.8	15.6	-1	-1	-1	-1	3.9
Hs.593150	42.2	2.6	67.5	5.5	-1	-1	-1	-1	9.6	3.9
Hs.593152	2.5	-1	-1	-1	-1	5	-1	-1	-1	-1
Hs.593157	-1	-1	-1	2.7	-1	-1	-1	-1	-1	7.8
Hs.593159	49.8	54.8	6.4	20.5	78.1	20.1	42.2	19.6	28.8	27.2
Hs.593163	13.5	7.8	144.6	10.9	15.6	15.1	10.6	19.6	48	38.8
Hs.593166	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593168	32.1	20.9	3.2	16.4	7.8	20.1	-1	48.9	-1	31.1
Hs.593169	1.7	-1	-1	4.1	-1	-1	-1	4.9	-1	-1
Hs.593170	1.7	7.8	3.2	2.7	-1	-1	10.6	4.9	-1	3.9
Hs.593171	47.3	28.7	96.4	39.7	46.8	25.2	42.2	48.9	9.6	66
Hs.593173	28.7	10.4	32.1	47.9	15.6	90.5	10.6	63.5	38.4	66
Hs.593176	27.9	7.8	134.9	42.4	93.7	15.1	10.6	29.3	9.6	34.9
Hs.593177	25.3	20.9	-1	4.1	7.8	-1	10.6	9.8	-1	38.8
Hs.593181	-1	-1	-1	1.4	-1	-1	-1	4.9	-1	3.9
Hs.593184	10.1	5.2	9.6	9.6	-1	10.1	42.2	4.9	9.6	19.4
Hs.593187	1.7	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
Hs.593188	-1	2.6	6.4	2.7	-1	-1	21.1	4.9	-1	-1
Hs.59319	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593191	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593194	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593196	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593197	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593199	-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593204	9.3	-1	-1	1.4	15.6	-1	-1	-1	9.6	-1
Hs.593205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593207	0.8	-1	-1	1.4	-1	-1	-1	-1	19.2	-1
Hs.593208	6.8	7.8	-1	2.7	-1	-1	-1	4.9	9.6	7.8
Hs.593209	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593210	10.1	5.2	6.4	41	15.6	50.3	21.1	9.8	28.8	11.6
Hs.593216	1.7	-1	-1	1.4	-1	20.1	-1	-1	-1	-1
Hs.593218	4.2	-1	28.9	6.8	7.8	5	-1	24.4	-1	7.8
Hs.593219	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593220	1.7	7.8	-1	2.7	-1	-1	-1	-1	-1	7.8
Hs.593229	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593232	46.4	67.8	61	49.2	46.8	15.1	42.2	44	19.2	54.4
Hs.593237	-1	-1	-1	4.1	7.8	-1	-1	4.9	-1	-1
Hs.593252	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593257	0.8	-1	-1	1.4	-1	-1	-1	4.9	-1	-1
Hs.593258	3.4	-1	-1	6.8	15.6	20.1	-1	-1	9.6	-1
Hs.593268	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593269	5.1	-1	-1	-1	-1	-1	-1	9.8	-1	7.8
Hs.593270	-1	-1	-1	2.7	-1	-1	-1	-1	9.6	-1
Hs.593272	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593274	-1	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593276	10.1	5.2	6.4	1.4	-1	5	-1	-1	-1	-1
Hs.593277	0.8	5.2	-1	4.1	-1	-1	-1	-1	-1	3.9
Hs.593280	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593282	5.9	7.8	-1	5.5	15.6	-1	-1	-1	9.6	-1
Hs.593283	-1	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593289	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593290	0.8	-1	-1	-1	7.8	5	-1	-1	-1	-1
Hs.593291	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593292	2.5	2.6	-1	1.4	7.8	-1	-1	-1	-1	-1
Hs.593293	11	2.6	6.4	15	7.8	-1	-1	-1	19.2	3.9
Hs.593295	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593297	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593298	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593303	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593304	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593306	-1	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593308	-1	5.2	-1	6.8	-1	-1	-1	-1	9.6	7.8
Hs.593314	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593315	-1	5.2	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593316	3.4	2.6	-1	9.6	-1	-1	-1	4.9	-1	-1
Hs.593317	1.7	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593318	11	7.8	6.4	31.5	23.4	-1	-1	29.3	19.2	7.8
Hs.593319	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.59332	70.9	104.3	80.3	27.4	7.8	135.8	42.2	68.4	67.2	62.1
Hs.593320	-1	-1	-1	-1	-1	-1	-1	9.8	-1	-1
Hs.593322	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593323	-1	2.6	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593326	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593327	3.4	7.8	3.2	-1	7.8	10.1	-1	-1	-1	-1
Hs.593330	2.5	5.2	3.2	6.8	7.8	-1	-1	-1	-1	-1
Hs.593332	1.7	-1	-1	1.4	-1	-1	10.6	-1	-1	3.9
Hs.593335	2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593339	37.1	96.5	57.8	32.8	62.5	40.2	200.6	24.4	38.4	34.9
Hs.593340	1.7	2.6	3.2	1.4	-1	-1	-1	-1	19.2	-1
Hs.593344	6.8	2.6	3.2	19.2	-1	5	21.1	-1	-1	3.9
Hs.593345	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593346	-1	-1	-1	6.8	-1	-1	-1	-1	-1	-1
Hs.593347	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593351	8.4	15.6	28.9	17.8	39	25.2	31.7	53.8	105.6	34.9
Hs.593356	-1	-1	-1	-1	-1	-1	-1	9.8	9.6	-1
Hs.593359	0.8	5.2	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593364	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593365	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593368	1.7	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593369	-1	-1	-1	1.4	-1	-1	10.6	-1	-1	-1
Hs.593373	0.8	5.2	-1	4.1	-1	-1	-1	-1	-1	-1
Hs.593375	1.7	5.2	-1	1.4	-1	-1	-1	4.9	-1	-1
Hs.593376	0.8	-1	-1	-1	-1	-1	10.6	-1	-1	3.9
Hs.593377	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593379	1.7	13	-1	12.3	7.8	-1	-1	-1	-1	3.9
Hs.593380	0.8	-1	-1	2.7	-1	-1	-1	-1	-1	-1
Hs.593381	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593382	4.2	18.3	6.4	5.5	-1	20.1	-1	19.6	9.6	50.5
Hs.593386	9.3	-1	-1	-1	-1	-1	-1	9.8	-1	3.9
Hs.593389	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593390	13.5	2.6	32.1	4.1	-1	10.1	21.1	53.8	-1	11.6
Hs.593391	0.8	2.6	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593395	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593401	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593402	-1	2.6	3.2	4.1	-1	-1	-1	-1	-1	3.9
Hs.593405	0.8	-1	-1	-1	-1	-1	-1	9.8	9.6	3.9
Hs.593407	-1	-1	-1	-1	-1	-1	21.1	-1	153.6	-1
Hs.593408	0.8	2.6	-1	5.5	-1	-1	-1	4.9	-1	-1
Hs.593409	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593410	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593411	0.8	2.6	-1	-1	-1	5	-1	4.9	-1	-1
Hs.593412	0.8	-1	-1	-1	-1	-1	10.6	4.9	9.6	-1
Hs.593413	1.7	23.5	-1	4.1	-1	-1	21.1	9.8	19.2	-1
Hs.593414	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593415	0.8	-1	-1	-1	-1	-1	-1	4.9	-1	3.9
Hs.593416	13.5	7.8	3.2	8.2	15.6	55.3	-1	44	-1	15.5
Hs.593418	-1	13	19.3	4.1	7.8	-1	-1	4.9	-1	3.9
Hs.593422	1.7	-1	6.4	8.2	-1	5	-1	44	9.6	3.9
Hs.593426	-1	-1	-1	1.4	-1	-1	-1	9.8	19.2	-1
Hs.593427	11	-1	-1	2.7	-1	-1	-1	4.9	-1	-1
Hs.593429	-1	-1	-1	-1	-1	-1	-1	14.7	-1	3.9
Hs.593430	16	2.6	12.9	19.2	31.2	-1	-1	29.3	28.8	3.9
Hs.593431	0.8	-1	-1	10.9	15.6	-1	10.6	14.7	-1	3.9
Hs.593435	1.7	-1	-1	-1	-1	-1	-1	9.8	-1	-1
Hs.593441	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593442	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593446	22.8	10.4	-1	13.7	7.8	10.1	-1	14.7	19.2	27.2
Hs.593449	-1	7.8	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593451	1.7	2.6	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.593457	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593458	-1	-1	-1	-1	-1	-1	-1	4.9	-1	3.9
Hs.593460	0.8	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.593461	1.7	2.6	-1	1.4	-1	-1	-1	4.9	-1	11.6
Hs.593463	7.6	20.9	25.7	21.9	15.6	15.1	10.6	39.1	76.8	34.9
Hs.593466	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593473	-1	5.2	-1	1.4	15.6	-1	-1	4.9	-1	-1
Hs.593474	13.5	7.8	19.3	10.9	15.6	70.4	10.6	4.9	9.6	19.4
Hs.593476	-1	-1	-1	-1	-1	-1	-1	-1	28.8	-1
Hs.593480	-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593486	-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593491	0.8	7.8	-1	2.7	-1	-1	-1	4.9	-1	-1
Hs.593495	-1	-1	-1	1.4	7.8	-1	-1	24.4	-1	-1
Hs.593499	3.4	5.2	3.2	4.1	-1	-1	21.1	-1	-1	-1
Hs.593503	-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593505	-1	-1	-1	-1	-1	-1	10.6	-1	-1	-1
Hs.593514	10.1	10.4	3.2	10.9	7.8	-1	10.6	4.9	-1	23.3
Hs.593516	0.8	-1	-1	-1	-1	-1	21.1	-1	-1	-1
Hs.593517	-1	-1	-1	4.1	-1	-1	-1	39.1	9.6	7.8
Hs.593520	25.3	2.6	9.6	2.7	39	5	10.6	14.7	9.6	3.9
Hs.593527	20.3	5.2	6.4	-1	15.6	-1	-1	9.8	-1	-1
Hs.593529	9.3	-1	3.2	4.1	-1	-1	-1	-1	-1	3.9
Hs.593530	6.8	-1	3.2	-1	-1	-1	-1	-1	-1	-1
Hs.593532	5.1	-1	3.2	5.5	-1	20.1	-1	-1	-1	-1
Hs.593533	5.9	-1	-1	-1	-1	-1	-1	4.9	9.6	-1
Hs.593536	7.6	-1	-1	-1	-1	-1	-1	-1	9.6	-1
Hs.593538	29.5	15.6	16.1	2.7	15.6	-1	-1	9.8	57.6	23.3
Hs.593541	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593542	18.6	13	3.2	19.2	-1	30.2	-1	14.7	-1	34.9
Hs.593545	4.2	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593547	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593550	4.2	2.6	6.4	-1	-1	-1	-1	4.9	-1	3.9
Hs.593551	5.1	7.8	3.2	1.4	-1	-1	-1	4.9	19.2	-1
Hs.593552	0.8	-1	-1	2.7	23.4	-1	-1	4.9	9.6	3.9
Hs.593556	-1	-1	-1	-1	-1	-1	-1	4.9	9.6	-1
Hs.593557	8.4	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593558	17.7	15.6	6.4	10.9	7.8	5	10.6	14.7	-1	3.9
Hs.593559	5.9	-1	-1	2.7	-1	-1	-1	-1	9.6	3.9
Hs.593560	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593561	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593563	-1	-1	-1	-1	-1	-1	-1	4.9	-1	-1
Hs.593564	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593565	-1	5.2	3.2	2.7	-1	5	-1	9.8	-1	3.9
Hs.593566	37.1	20.9	35.3	38.3	46.8	10.1	-1	58.7	19.2	23.3
Hs.593575	3.4	10.4	-1	5.5	7.8	5	-1	-1	-1	11.6
Hs.593576	1.7	2.6	-1	2.7	-1	-1	-1	4.9	-1	7.8
Hs.593577	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593579	6.8	5.2	22.5	9.6	-1	-1	10.6	19.6	9.6	11.6
Hs.593580	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593582	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593586	5.1	-1	-1	-1	7.8	-1	-1	-1	9.6	-1
Hs.593593	4.2	-1	3.2	-1	15.6	-1	-1	-1	-1	3.9
Hs.593594	5.9	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593595	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593597	7.6	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.593599	7.6	-1	-1	-1	-1	-1	-1	-1	-1	11.6
Hs.593600	5.9	2.6	12.9	4.1	-1	-1	-1	-1	9.6	3.9
