NCBI_UnigeneID	v1_brain	v2_blood	v3_connective	v4_reproductive	v5_muscular	v6_alimentary	v7_liver	v8_lung	v9_urinary	v10_endo/exo-crine
Hs.103355	2.5	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.103388	-1	-1	-1	2.7	-1	-1	-1	-1	-1	3.9
Hs.103426	-1	-1	-1	-1	7.8	-1	-1	-1	-1	-1
Hs.103501	0.8	-1	-1	-1	-1	-1	-1	-1	-1	-1
Hs.103502	5.1	2.6	28.9	1.4	62.5	100.6	21.1	-1	67.2	15.5
Hs.103503	2.5	5.2	16.1	1.4	-1	-1	-1	-1	-1	-1
Hs.103505	1.7	-1	-1	-1	15.6	-1	-1	-1	-1	-1
Hs.103521	27.9	15.6	6.4	5.5	-1	15.1	-1	4.9	19.2	7.8
Hs.103527	6.8	83.4	6.4	5.5	-1	10.1	21.1	4.9	9.6	-1
Hs.103535	43.9	-1	-1	1.4	-1	-1	10.6	-1	-1	-1
Hs.103555	62.5	60	48.2	109.4	93.7	55.3	42.2	39.1	76.8	31.1
Hs.103561	57.4	54.8	25.7	30.1	70.3	85.5	84.4	83.1	19.2	69.9
Hs.103665	8.4	31.3	3.2	10.9	-1	25.2	-1	-1	-1	11.6
Hs.103755	22	39.1	9.6	42.4	15.6	60.4	-1	44	9.6	27.2
Hs.103822	-1	2.6	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.103832	9.3	28.7	12.9	19.2	15.6	25.2	52.8	9.8	9.6	7.8
Hs.103854	9.3	49.5	38.6	21.9	7.8	25.2	-1	9.8	9.6	27.2
Hs.103902	0.8	2.6	6.4	4.1	7.8	5	-1	4.9	9.6	11.6
Hs.103934	4.2	-1	3.2	1.4	7.8	-1	-1	14.7	-1	-1
Hs.103939	14.4	5.2	9.6	12.3	7.8	30.2	10.6	9.8	19.2	3.9
Hs.10399	-1	-1	-1	1.4	-1	-1	-1	-1	-1	-1
Hs.104	1.7	-1	-1	-1	-1	-1	31.7	-1	-1	7.8
